name,MET2013,INCTOT,SEX,RACWHT,EDUC,VALUEH,employment,year,25-35 percentage,children percentage,23-27 vs 13-17 ratio
"Baltimore-Columbia-Towson, MD ",12580,48168.08563,0.49915493,0.784788732,8.549295775,279922.9859,0.951699463,2012,0.241264205,0.079187518,1.030065359
"Bangor, ME ",12620,37507.19231,0.474358974,0.987179487,8.076923077,133160.2564,0.956521739,2012,0.171929825,0.115646259,0.88172043
"Barnstable Town, MA",12700,43123.83495,0.504854369,0.951456311,7.961165049,382145.6311,0.885416667,2012,0.140201394,0.226519337,0.610062893
"Baton Rouge, LA",12940,40227.04615,0.516483516,0.701098901,7.808791209,165277.1429,0.966824645,2012,0.26162287,0.040838852,0.95215311
"Beaumont-Port Arthur, TX",13140,39459.86992,0.524390244,0.861788618,7.227642276,123483.7398,0.954751131,2012,0.229573712,0.046421663,0.870722433
"Bellingham, WA ",13380,39155.86047,0.511627907,0.872093023,8.23255814,237395.3488,0.947368421,2012,0.215231788,0.112820513,0.842592593
"Bend-Redmond, OR ",13460,40350.41176,0.607843137,1,7.823529412,189333.3333,0.895833333,2012,0.21192053,0.0390625,0.744680851
"Binghamton, NY ",13780,35569.01282,0.519230769,0.955128205,8.551282051,116775.641,0.925675676,2012,0.200573066,0.089285714,0.900662252
"Birmingham-Hoover, AL ",13820,39634.23449,0.502269289,0.815431165,8.175491679,164843.4191,0.953719008,2012,0.222323214,0.077677841,0.784962406
"Bismarck, ND ",13900,52177.69512,0.548780488,0.987804878,8.097560976,157924.3902,1,2012,0.240875912,0.128787879,0.898305085
"Blacksburg-Christiansburg-Radford, VA ",13980,34305.33333,0.56,1,7.853333333,160540,0.970149254,2012,0.239543726,0.063492063,1.457142857
"Bloomington, IL ",14010,42947.48031,0.496062992,0.952755906,7.94488189,136704.7244,0.93442623,2012,0.232741617,0.088983051,1.009009009
"Bloomington, IN ",14020,33007.76119,0.492537313,0.910447761,8.328358209,146685.0746,0.953846154,2012,0.287671233,0.054421769,2.55
"Boise City, ID",14260,33868.93645,0.511705686,0.966555184,7.866220736,142633.7793,0.954716981,2012,0.247320365,0.075441413,0.761061947
"Boston-Cambridge-Newton, MA-NH ",14460,54852.72589,0.506833268,0.848496681,8.875439282,364876.8059,0.959057072,2012,0.240741479,0.077827455,1.061231631
"Bremerton-Silverdale, WA ",14740,42460.53237,0.482014388,0.899280576,7.474820144,244167.6259,0.942622951,2012,0.240955631,0.056657224,1
"Bridgeport-Stamford-Norwalk, CT ",14860,57689.71186,0.495762712,0.847457627,8.75,458347.4576,0.931111111,2012,0.199684294,0.113636364,0.591040462
"Brownsville-Harlingen, TX ",15180,24281.91781,0.484018265,0.881278539,6.789954338,93537.44292,0.923469388,2012,0.257960065,0.037656904,0.536340852
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,38721.88496,0.526548673,0.933628319,8.396755162,130955.8997,0.942277691,2012,0.216615173,0.095087163,0.991176471
"Burlington, NC ",15500,27850.68966,0.494252874,0.793103448,7.367816092,138436.7816,0.901234568,2012,0.193381593,0.090909091,0.669565217
"Burlington-South Burlington, VT",15540,36044.91071,0.482142857,0.964285714,8.116071429,232223.2143,0.943925234,2012,0.230855856,0.117073171,1
"Canton-Massillon, OH ",15940,34315.95041,0.578512397,0.97107438,7.760330579,130119.8347,0.933333333,2012,0.213122842,0.055555556,0.769874477
"Cape Coral-Fort Myers,FL",15980,37212.04049,0.469635628,0.87854251,7.493927126,144700,0.956709957,2012,0.186779867,0.048701299,0.715447154
"Champaign-Urbana, IL ",16580,43515.15254,0.466101695,0.966101695,8.830508475,154966.1017,0.98245614,2012,0.296059638,0.050359712,1.436893204
"Charleston, WV ",16620,34002.10345,0.517241379,0.956896552,7.775862069,153672.4138,0.911504425,2012,0.212605833,0.084070796,0.821705426
"Charleston-North Charleston, SC",16700,39344.78182,0.502272727,0.784090909,8.268181818,202431.8182,0.946210269,2012,0.2772612,0.048780488,1.523364486
"Charlotte-Concord-Gastonia, NC-SC ",16740,43470.83799,0.480599047,0.80871341,8.21102791,177500.4765,0.941219158,2012,0.234323432,0.059691482,0.818299805
"Chattanooga, TN-GA ",16860,40359.85348,0.501831502,0.893772894,7.871794872,162925.2747,0.955284553,2012,0.225177969,0.054908486,0.875796178
"Chicago-Naperville-Elgin, IL-IN-WI ",16980,46765.96599,0.517100372,0.798327138,8.385687732,233910.9294,0.944912762,2012,0.252699587,0.060077694,0.866666667
"Chico, CA ",17020,34697.82609,0.532608696,0.891304348,7.369565217,188565.2174,0.925925926,2012,0.245266781,0.031578947,1.173333333
"Cincinnati, OH-KY-IN ",17140,41436.85141,0.508433735,0.936546185,8.269879518,159149.7992,0.957337884,2012,0.235218636,0.081409987,0.895222129
"Clarksville, TN-KY ",17300,34072.1701,0.587628866,0.855670103,7.829896907,145298.9691,0.949152542,2012,0.326662363,0.029644269,1.48603352
"Cleveland-Elyria, OH ",17460,39540.10345,0.513036165,0.878889823,8.345668629,160009.3356,0.961469534,2012,0.211037257,0.089929548,0.784172662
"Coeur d'Alene, ID",17660,33255.625,0.578125,0.984375,7.921875,186289.0625,0.983050847,2012,0.217472119,0.094017094,0.847457627
"College Station-Bryan, TX",17780,41510.84112,0.542056075,0.76635514,8,160822.4299,0.960784314,2012,0.344586729,0.054054054,1.508928571
"Colorado Springs, CO",17820,38925.45706,0.501385042,0.914127424,8.307479224,208883.1025,0.950146628,2012,0.264894299,0.036275695,1.033505155
"Columbia, MO ",17860,33339.14286,0.545454545,1,8.662337662,151207.7922,0.928571429,2012,0.29480737,0.039772727,1.698113208
"Columbia, SC ",17900,37368,0.506048387,0.780241935,8.348790323,149906.0484,0.957081545,2012,0.246359793,0.043851287,0.97515528
"Columbus, OH ",18140,44316.45761,0.473988439,0.904624277,8.530828516,167654.5279,0.965306122,2012,0.260417843,0.05160451,0.986326345
"Corpus Christi, TX",18580,35797.67442,0.531007752,0.926356589,7.124031008,112329.0698,0.977375566,2012,0.239063699,0.04975923,0.717142857
"Dallas-Fort Worth-Arlington, TX",19100,44556.74259,0.506738544,0.788948787,7.923719677,174126.6307,0.956672444,2012,0.252205269,0.05707196,0.800353357
"Daphne-Fairhope-Foley, AL ",19300,34937.75758,0.560606061,0.924242424,7.636363636,160409.0909,0.951612903,2012,0.20505618,0.082191781,0.756410256
"Dayton, OH ",19380,39543.57623,0.506459948,0.92248062,8.046511628,137394.0568,0.931818182,2012,0.223298496,0.067351598,0.782157676
"Decatur, AL ",19460,36370.98901,0.538461538,0.802197802,6.989010989,105109.8901,0.901234568,2012,0.194552529,0.113333333,0.598214286
"Decatur, IL ",19500,38336.2381,0.547619048,0.928571429,7.583333333,106470.2381,0.935897436,2012,0.210378682,0.073333333,0.679487179
"Deltona-Daytona Beach-Ormond Beach,FL",19660,28625.75,0.504166667,0.8875,7.379166667,144541.6667,0.918181818,2012,0.184184514,0.057245081,0.973063973
"Denver-Aurora-Lakewood, CO ",19740,49869.53414,0.512665198,0.899229075,8.587004405,258081.9934,0.970913322,2012,0.260386111,0.054755043,0.968053044
"Des Moines-West DesMoines,IA",19780,41142.85572,0.487562189,0.932835821,8.171641791,151455.2239,0.968337731,2012,0.261562379,0.087667162,0.95532646
"Detroit-Warren-Dearborn, MI ",19820,37132.31934,0.525943396,0.847169811,8,141833.0189,0.928205128,2012,0.206459921,0.086278586,0.755789474
"Dover, DE ",20100,34120.90909,0.535353535,0.808080808,7.525252525,180112.1212,0.913043478,2012,0.216944801,0.082840237,0.827956989
"East Stroudsburg, PA",20700,34815.09434,0.490566038,0.924528302,7.735849057,168954.717,0.895833333,2012,0.17826087,0.036585366,0.549019608
"Eau Claire, WI",20740,35217.29412,0.564705882,0.988235294,7.423529412,169094.1176,0.936708861,2012,0.219047619,0.099378882,0.715789474
"El Centro, CA",20940,30096.77419,0.548387097,0.790322581,7.129032258,152709.6774,0.854545455,2012,0.252051583,0.027906977,1.026315789
"Elkhart-Goshen, IN ",21140,32991.85185,0.518518519,0.916666667,6.62037037,116120.3704,0.980582524,2012,0.242387333,0.125628141,0.624113475
"El Paso, TX",21340,30295.03212,0.526766595,0.875802998,7.451820128,123078.8009,0.928571429,2012,0.280164651,0.031221304,0.946127946
"Erie, PA ",21500,33937.9878,0.463414634,0.951219512,7.853658537,131121.9512,0.899371069,2012,0.213460231,0.073248408,0.967532468
"Eugene, OR ",21660,36842.13369,0.470588235,0.871657754,7.914438503,231374.3316,0.931677019,2012,0.221453287,0.060267857,0.914691943
"Fayetteville, NC ",22180,29529.16667,0.5,0.601190476,7.726190476,132164.2857,0.901960784,2012,0.337316676,0.025764895,1.323275862
"Fayetteville-Springdale-Rogers, AR-MO ",22220,45665.07224,0.547528517,0.927756654,7.63878327,144418.251,0.954918033,2012,0.274349822,0.044609665,0.922746781
"Flagstaff, AZ ",22380,35684.25532,0.5,0.468085106,7.404255319,199797.8723,0.903614458,2012,0.224080268,0.074626866,0.905109489
"Florence, SC ",22500,31427.3913,0.528985507,0.746376812,7.449275362,126817.3913,0.96031746,2012,0.221070812,0.03125,0.838028169
"Fort Collins, CO",22660,50221.88889,0.505555556,0.95,8.888888889,267066.6667,0.958083832,2012,0.258188825,0.077114428,1.244897959
"Fort Wayne, IN",23060,33823.88,0.56,0.913333333,8,119601.6667,0.961267606,2012,0.264887064,0.062015504,1.044052863
"Fresno, CA ",23420,32982.21914,0.541561713,0.675062972,7.214105793,179110.8312,0.91966759,2012,0.268957871,0.025556472,0.941089838
"Gadsden, AL ",23460,39836.42424,0.606060606,0.848484848,7.257575758,135878.7879,0.9,2012,0.217142857,0.043859649,0.777777778
"Gainesville, FL ",23540,48892.69231,0.484615385,0.807692308,8.776923077,178776.9231,0.966942149,2012,0.288726683,0.030898876,1.552845528
"Gainesville, GA ",23580,33380.91743,0.486238532,0.889908257,7.449541284,174532.1101,0.951456311,2012,0.20040282,0.060301508,0.605442177
"Glens Falls, NY",24020,34508.66667,0.52991453,1,7.64957265,153598.2906,0.905660377,2012,0.2027833,0.107843137,0.946428571
"Goldsboro, NC ",24140,29515.2037,0.62962963,0.722222222,7.37037037,117648.1481,0.857142857,2012,0.25083612,0.06,0.802469136
"Grand Junction, CO",24300,40493.57143,0.589285714,0.964285714,7.714285714,186464.2857,0.980769231,2012,0.234833659,0.05,0.8
"Grand Rapids-Wyoming, MI",24340,34995.2741,0.512287335,0.947069943,8.200378072,137027.4102,0.945121951,2012,0.261775362,0.08189158,0.856557377
"Greensboro-High Point, NC",24660,36090.90769,0.494871795,0.782051282,8.084615385,163052.3077,0.955922865,2012,0.219506111,0.064772727,0.882113821
"Greenville, NC ",24780,38430,0.536231884,0.797101449,8.565217391,138631.8841,1,2012,0.237891738,0.071856287,0.895833333
"Greenville-Anderson-Mauldin, SC ",24860,38231.83096,0.49287169,0.84114053,7.914460285,164372.7088,0.964125561,2012,0.222198506,0.066282421,0.836956522
"Gulfport-Biloxi-Pascagoula, MS ",25060,35169.24658,0.561643836,0.760273973,7.51369863,140178.0822,0.913043478,2012,0.253521127,0.05026455,0.919354839
"Hanford-Corcoran, CA ",25260,39067.09677,0.516129032,0.838709677,7.806451613,176774.1935,0.950819672,2012,0.29303675,0.02310231,1.274509804
"Harrisburg-Carlisle, PA ",25420,36716.91875,0.503125,0.940625,7.575,172650.625,0.959731544,2012,0.21760055,0.112164297,0.82739726
"Harrisonburg, VA ",25500,39329.39394,0.535353535,0.95959596,7.898989899,200934.3434,0.977272727,2012,0.267727931,0.059459459,1.378378378
"Hartford-West Hartford-East Hartford,CT",25540,48818.98698,0.518089725,0.849493488,8.76121563,240940.9551,0.948640483,2012,0.216212051,0.097647897,0.791314837
"Hickory-Lenoir-Morganton, NC ",25860,28274.2823,0.507177033,0.90430622,7.119617225,131794.2584,0.933673469,2012,0.186311787,0.066326531,0.882629108
"Hilton Head Island-Bluffton-Beaufort,SC",25940,27334.41176,0.573529412,0.75,6.955882353,168823.5294,0.923076923,2012,0.229291717,0.062827225,1.314285714
"Homosassa Springs, FL",26140,32923.07692,0.512820513,1,7.564102564,117794.8718,0.972972973,2012,0.142322097,0.052631579,0.457627119
"Houma-Thibodaux, LA ",26380,39925.3012,0.536144578,0.897590361,7.084337349,150762.0482,0.954545455,2012,0.245387454,0.045112782,1.110169492
"Houston-The Woodlands-Sugar Land,TX",26420,45062.40265,0.527229408,0.726004084,7.747787611,166529.4078,0.937591777,2012,0.261228999,0.048126003,0.863636364
"Huntsville, AL ",26620,40026.93532,0.517412935,0.751243781,8.343283582,150379.602,0.967741935,2012,0.245505618,0.064073227,1.044554455
"Indianapolis-Carmel-Anderson, IN ",26900,41245.57618,0.510507881,0.904553415,8.360770578,151596.0595,0.961002786,2012,0.250193563,0.062334218,0.860938884
"Iowa City, IA",26980,40743.68116,0.434782609,0.942028986,9.289855072,188666.6667,0.984615385,2012,0.332589286,0.11409396,1.103448276
"Ithaca, NY ",27060,37839.59184,0.510204082,0.918367347,8.755102041,151551.0204,0.978723404,2012,0.257142857,0.087301587,1.033898305
"Jackson, MI ",27100,32632.40506,0.46835443,0.962025316,7.620253165,105236.7089,0.945205479,2012,0.231425091,0.047368421,1.013888889
"Jackson, MS ",27140,33034.8254,0.504761905,0.6,8.133333333,137019.6825,0.921428571,2012,0.223529412,0.045321637,0.786924939
"Jackson, TN ",27180,30967.03125,0.46875,0.796875,8,119281.25,0.933333333,2012,0.191153239,0.05785124,0.773333333
"Jacksonville, FL ",27260,37685.12684,0.502949853,0.802359882,7.874631268,163217.2566,0.943910256,2012,0.222205641,0.044996642,1.048780488
"Janesville-Beloit, WI ",27500,39340.76923,0.505494505,0.956043956,7.637362637,178184.6154,0.929411765,2012,0.217065868,0.075862069,0.857142857
"Jefferson City, MO",27620,32550.98276,0.543103448,0.974137931,7.706896552,132075.8621,0.972727273,2012,0.246794872,0.112554113,0.776923077
"Johnstown, PA ",27780,31986.94444,0.493055556,0.986111111,7.8125,112673.6111,0.954198473,2012,0.195507488,0.055319149,0.949152542
"Joplin, MO ",27900,36277.60465,0.511627907,0.968992248,7.441860465,126720.9302,0.965811966,2012,0.23626943,0.052631579,0.886956522
"Kalamazoo-Portage, MI ",28020,34107.17536,0.530805687,0.962085308,7.90521327,130549.763,0.947643979,2012,0.203663793,0.100529101,0.917073171
"Kankakee, IL ",28100,36943.9726,0.534246575,0.945205479,7.123287671,142520.5479,0.914285714,2012,0.195876289,0.120300752,0.778947368
"Kansas City, MO-KS",28140,43329.99023,0.524417731,0.895567243,8.232156273,157024.7934,0.945859873,2012,0.237736955,0.085902178,0.86797066
"Knoxville, TN ",28940,35103.38995,0.50779896,0.944540728,7.987868284,154270.7106,0.944761905,2012,0.223119338,0.056487202,0.947674419
"La Crosse-Onalaska, WI-MN",29100,35637.7551,0.551020408,1,8,154610.2041,0.955555556,2012,0.232662192,0.115384615,1
"Lafayette, LA ",29180,39581.39456,0.482993197,0.795918367,7.462585034,136958.1633,0.941605839,2012,0.240102171,0.058510638,0.856697819
"Lafayette-West Lafayette, IN",29200,37548.57143,0.5,0.976190476,8.273809524,138785.7143,0.963855422,2012,0.267683773,0.046632124,1.866666667
"Lake Havasu City-Kingman,AZ",29420,26142.18182,0.454545455,0.709090909,6.509090909,154690.9091,0.8,2012,0.214624881,0.030973451,0.854961832
"Lakeland-Winter Haven, FL",29460,35688.88162,0.501557632,0.878504673,7.280373832,151262.6168,0.949324324,2012,0.219265259,0.022427441,0.876344086
"Lancaster, PA ",29540,38313.80075,0.57518797,0.962406015,7.372180451,226259.3985,0.967741935,2012,0.236754177,0.088709677,0.875502008
"Lansing-East Lansing, MI",29620,35125.8206,0.504983389,0.966777409,8.006644518,128413.6213,0.950530035,2012,0.226826143,0.103578154,0.898648649
"Laredo, TX ",29700,33096.84211,0.547368421,0.947368421,7.321052632,114969.4737,0.971428571,2012,0.300746269,0.037220844,0.668965517
"Las Cruces, NM",29740,26814.20455,0.5,0.909090909,7.579545455,124710.2273,0.93902439,2012,0.301152738,0.019138756,1.117021277
"Las Vegas-Henderson-Paradise, NV",29820,38742.027,0.508379888,0.734636872,7.618249534,167408.1937,0.945490585,2012,0.257989315,0.027861446,0.867271228
"Lawrence, KS ",29940,45325.51724,0.482758621,0.862068966,8.793103448,181344.8276,0.964285714,2012,0.315028902,0.073394495,1.319148936
"Lebanon, PA ",30140,39298.97436,0.551282051,0.961538462,7.525641026,203591.0256,0.97260274,2012,0.222585925,0.088235294,0.93442623
"Lewiston-Auburn, ME ",30340,36865.58537,0.512195122,1,7.707317073,149219.5122,1,2012,0.195804196,0.035714286,0.764705882
"Lima, OH ",30620,36643.47826,0.507246377,0.927536232,7.507246377,108231.8841,0.916666667,2012,0.199356913,0.064516129,0.746835443
"Lincoln, NE ",30700,39469.7439,0.487804878,0.951219512,8.317073171,151030.4878,0.980645161,2012,0.292321924,0.098101266,1.203539823
"Little Rock-North LittleRock-Conway,AR",30780,36519.98526,0.498771499,0.820638821,8.230958231,146922.3587,0.959677419,2012,0.259036145,0.051679587,1.091954023
"Los Angeles-Long Beach-Anaheim,CA",31080,41364.60032,0.514853058,0.582208102,7.993645751,424082.7006,0.92726025,2012,0.26583696,0.019942412,0.990368648
"Louisville/Jefferson County, KY-IN",31140,40997.75697,0.498327759,0.915273133,8.276477146,181111.4827,0.949589683,2012,0.226677806,0.073095823,0.809296782
"Lubbock, TX ",31180,32339.75,0.5125,0.9,7.9,114416.875,0.953642384,2012,0.255474453,0.085714286,1.167597765
"Lynchburg, VA ",31340,31910.27329,0.51552795,0.844720497,7.900621118,160683.2298,0.973856209,2012,0.20979021,0.048148148,1.13740458
"Madera, CA ",31460,26986.22222,0.488888889,0.8,7,158800,0.972972973,2012,0.269444444,0.015463918,1.1625
"Manchester-Nashua, NH ",31700,49293.9381,0.557142857,0.938095238,8.59047619,240553.3333,0.965174129,2012,0.22309417,0.092964824,0.867647059
"Mansfield, OH ",31900,26805.59459,0.513513514,0.945945946,7.581081081,103025.6757,0.942857143,2012,0.244698206,0.046666667,0.825396825
"McAllen-Edinburg-Mission, TX ",32580,27859.22749,0.537914692,0.914691943,6.791469194,91926.06635,0.92248062,2012,0.297029703,0.060493827,0.702290076
"Medford, OR ",32780,27620.06667,0.433333333,0.95,7.733333333,209941.6667,0.921568627,2012,0.192849404,0.095505618,0.644230769
"Memphis, TN-MS-AR ",32820,38603.62798,0.502384738,0.6645469,7.941176471,153425.4372,0.954465849,2012,0.233817701,0.051553672,0.782115869
"Merced, CA ",32900,32175.34653,0.504950495,0.821782178,6.97029703,158702.9703,0.886597938,2012,0.259005146,0.052980132,0.599078341
"Miami-Fort Lauderdale-West PalmBeach,FL",33100,38589.39251,0.487936622,0.735685992,8.009002521,219051.8545,0.939217964,2012,0.229034044,0.039879154,0.942349642
"Michigan City-La Porte,IN",33140,32470.25641,0.525641026,0.948717949,7.487179487,119551.2821,0.905405405,2012,0.257861635,0.048780488,1
"Midland, TX ",33260,54733.37838,0.621621622,0.878378378,7.297297297,148500,0.952380952,2012,0.256451613,0.06918239,0.752808989
"Milwaukee-Waukesha-West Allis, WI",33340,41568.63857,0.466774716,0.868719611,8.397082658,198961.1021,0.95532646,2012,0.243209435,0.071271124,0.902472527
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,44731.74803,0.516765286,0.903846154,8.374260355,206832.8895,0.964638586,2012,0.255209884,0.08253135,0.910702977
"Mobile, AL ",33660,33763.73653,0.538922156,0.74251497,7.808383234,143353.8922,0.940397351,2012,0.205516495,0.063157895,0.725806452
"Modesto, CA ",33700,32853.94118,0.520361991,0.787330317,7.018099548,176124.4344,0.883248731,2012,0.238391376,0.060869565,0.677581864
"Monroe, LA ",33740,32859.68116,0.565217391,0.652173913,7.246376812,145610.1449,0.948275862,2012,0.259067358,0.035,0.787610619
"Monroe, MI ",33780,38131.47253,0.549450549,0.956043956,7.131868132,127793.4066,0.91954023,2012,0.193548387,0.090277778,0.604651163
"Montgomery, AL ",33860,37745.90323,0.532258065,0.564516129,7.811827957,142906.9892,0.945454545,2012,0.225420967,0.045783133,0.85
"Morgantown, WV ",34060,36229.23256,0.523255814,0.965116279,8.023255814,131895.3488,0.975308642,2012,0.281065089,0.031578947,2.29787234
"Muncie, IN ",34620,25982.07547,0.58490566,0.924528302,7.471698113,86481.13208,0.918367347,2012,0.190954774,0.078947368,0.75862069
"Muskegon, MI ",34740,31316.80392,0.509803922,0.911764706,7.529411765,96611.76471,0.947916667,2012,0.225087925,0.119791667,0.739495798
"Myrtle Beach-Conway-North MyrtleBeach,SC-NC",34820,30791.2,0.455813953,0.855813953,7.734883721,165860.4651,0.924242424,2012,0.199140401,0.067146283,0.855
"Napa, CA ",34900,35671.06061,0.545454545,0.818181818,7.863636364,312818.1818,0.93220339,2012,0.184466019,0.076023392,0.763157895
"Naples-Immokalee-Marco Island, FL",34940,33851.90476,0.495238095,0.876190476,6.952380952,156438.0952,0.956521739,2012,0.193594306,0.073529412,0.863945578
"Nashville-Davidson--Murfreesboro--Franklin, TN ",34980,39511.7089,0.512842466,0.880993151,8.154109589,194219.4349,0.960674157,2012,0.239752435,0.063478629,0.883061049
"New Haven-Milford, CT",35300,44898.71494,0.510344828,0.857471264,8.342528736,256304.5977,0.936893204,2012,0.226229508,0.065217391,0.882142857
"New Orleans-Metairie, LA",35380,40234.4,0.50617284,0.701234568,8.107407407,202423.5802,0.956349206,2012,0.256749076,0.044272274,1.061827957
"New York-Newark-Jersey City,NY-NJ-PA",35620,51985.65176,0.510783201,0.689897843,8.654143019,446891.2145,0.939510784,2012,0.246920028,0.05093111,0.93849793
"Niles-Benton Harbor, MI",35660,33477.32558,0.569767442,0.965116279,7.720930233,146593.0233,0.987179487,2012,0.186206897,0.141975309,0.833333333
"North Port-Sarasota-Bradenton, FL",35840,34928.72556,0.473684211,0.909774436,7.763157895,173663.5338,0.930894309,2012,0.177162049,0.045813586,0.848396501
"Norwich-New London, CT",35980,42719.34132,0.508982036,0.898203593,8.329341317,330449.1018,0.928571429,2012,0.207840697,0.080838323,0.866666667
"Ocala, FL ",36100,34889.26606,0.52293578,0.880733945,7.174311927,131926.6055,0.91,2012,0.196480938,0.029850746,0.702702703
"Ocean City, NJ",36140,32381.89655,0.517241379,0.982758621,8.620689655,309577.5862,0.88,2012,0.15,0.12962963,0.873015873
"Odessa, TX ",36220,40998.2243,0.551401869,0.887850467,6.514018692,110901.8692,0.989361702,2012,0.302795031,0.061538462,1.04109589
"Ogden-Clearfield, UT ",36260,36154.63697,0.527839644,0.93986637,7.948775056,196426.5033,0.971428571,2012,0.308564232,0.078911565,0.769021739
"Oklahoma City, OK",36420,41895.71229,0.520949721,0.863128492,7.76396648,140418.2961,0.97108067,2012,0.27348643,0.06870229,0.972809668
"Olympia-Tumwater, WA ",36500,37809,0.481818182,0.918181818,7.818181818,210309.0909,0.95049505,2012,0.211850649,0.076628352,0.671052632
"Omaha-Council Bluffs, NE-IA",36540,41105.71157,0.510301109,0.954041204,8.315372425,150712.2029,0.969798658,2012,0.251855085,0.110918544,0.845410628
"Orlando-Kissimmee-Sanford, FL ",36740,36248.85094,0.506416584,0.796643633,8.148075025,172279.8618,0.929025424,2012,0.244180336,0.041432019,1.019031142
"Oshkosh-Neenah, WI ",36780,35444.48718,0.474358974,0.987179487,8.269230769,136602.5641,0.973684211,2012,0.21875,0.105590062,1.147540984
"Owensboro, KY ",36980,36464.10256,0.538461538,0.961538462,8.08974359,108794.8718,0.972222222,2012,0.21869783,0.061068702,0.732394366
"Oxnard-Thousand Oaks-Ventura, CA",37100,43680.82005,0.510250569,0.797266515,7.922551253,412471.5262,0.933823529,2012,0.216817234,0.05982906,0.74800638
"Palm Bay-Melbourne-Titusville, FL",37340,38935.94203,0.52173913,0.888888889,8.164251208,145996.6184,0.931937173,2012,0.176359517,0.087794433,0.659375
"Parkersburg-Vienna, WV ",37620,35405.90909,0.545454545,0.977272727,7.386363636,199397.7273,0.976190476,2012,0.178036606,0.074766355,0.506849315
"Pensacola-Ferry Pass-Brent, FL",37860,34738.80717,0.493273543,0.843049327,7.721973094,146085.2018,0.949748744,2012,0.236989592,0.033783784,1.139917695
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",37980,45671.46182,0.506339814,0.830938292,8.375316991,248989.7999,0.933953768,2012,0.235149134,0.075193681,0.942424242
"Phoenix-Mesa-Scottsdale, AZ ",38060,42332.09684,0.505684211,0.854736842,7.944842105,167113.8526,0.951460674,2012,0.262279205,0.041673993,0.905244123
"Pittsburgh, PA ",38300,40715.71155,0.517429938,0.943950786,8.421052632,145684.1422,0.95705968,2012,0.209893154,0.078431373,0.959406714
"Pittsfield, MA ",38340,37424.09639,0.506024096,0.963855422,8.228915663,274853.012,0.925,2012,0.147590361,0.129251701,0.646551724
"Portland-South Portland, ME",38860,45381.01408,0.488262911,0.985915493,8.375586854,208553.9906,0.964824121,2012,0.196770938,0.123076923,0.831683168
"Portland-Vancouver-Hillsboro, OR-WA ",38900,42492.57763,0.502575423,0.903605592,8.326710817,244066.5195,0.947791165,2012,0.2504363,0.050997783,0.847272727
"Port St. Lucie,FL",38940,35624.38462,0.515384615,0.853846154,7.507692308,161195.3846,0.909836066,2012,0.177765548,0.061919505,0.821428571
